name,order,user,companions,num_people,park,region,province,country,distance,elevation_gain,start_date,end_date,max_temp,min_temp,rain,snow,summer_temp,winter_temp,annual_rain,annual_snow,route_type,lat,lng,forest,lake,river,waterfall,beach,historic_site,cave,hot_spring,difficulty,rating,status,route_source,route
Grand Canyon,1.0,Jamie,Guy,2.0,Grand Canyon,Grand Canyon,Arizona,USA,27.1,1510.0,2009-05-22,2009-05-23,17.1,9.0,27.9,0.0,32.3,-14.2,254.0,56.8,point to point,36.053000000000004,-112.084,0,0,1,0,0,0,0,0,7.0,5.0,0,komoot,"https://www.komoot.com/plan/tour/d01AiYfPvlRvOg=FxjQC8Ipl0Kpj67RFkgAKfVwXnwjQjupt4A=/@36.0755210,-112.1179217,11.659z"
Field Trip Failure,2.0,Jamie,class,20.0,Algonquin,Muskoka,Ontario,Canada,10.0,140.0,2012-06-16,2012-06-17,26.8,16.8,0.0,0.0,28.4,-23.8,729.6,197.2,out and back,45.573,-78.525,1,1,1,1,0,0,0,0,1.0,1.0,0,komoot,"https://www.komoot.com/plan/tour/d01ArdkSftRzYI=Fwf0BL7t0Bo2WSaO56LiVF5i9wsA/@45.5685222,-78.5049178,13.034z"
Geothermal Tour,3.0,Jamie,solo,1.0,Lake Myvatn,Lake Myvatn,Northeastern,Iceland,30.5,580.0,2018-08-02,2018-08-03,15.3,7.9,1.8,0.0,17.9,-15.7,414.3,414.2,loop,65.64,-16.915,0,1,0,0,0,0,1,1,5.0,4.0,0,komoot,"https://www.komoot.com/plan/tour/d01A-mVi_796cQ=FxhsE7HqY0B3_9AWNnUdPjcZQYSmDglWCOctC-mfoUIAnYzI6_w6rNuxm3bPJEhtph5nMqg21AdRI1QN3ZdUuULZ9ix23x-t3_RhASCGmhCJv_qxBR6Dhpo393WBCqlzu6_u58BQBKA3AA==/@65.6222979,-16.8666854,10.894z"
Kepler Track,4.0,Jamie,solo,1.0,Fiordland,Southland,South Island,New Zealand,55.0,1780.0,2019-11-28,2019-11-30,18.0,7.0,0.7,0.0,22.0,-1.9,1320.6,40.1,point to point,-45.492,167.66400000000004,1,1,1,1,1,0,1,0,7.0,5.0,0,komoot,"https://www.komoot.com/plan/tour/d01_Unaiwn-Vw8=FzlsCAT8fJsvfLPlz7dQBwvqTiByCRA_HcIV5ADg1FVDQXywH2imiRT2ZAIKQNqA/@-45.4413561,167.6327508,10.352z"
Grotto Meteors,5.0,Jamie,Peyman,2.0,Bruce Peninsula,Bruce Peninsula,Ontario,Canada,39.4,320.0,2020-10-20,2020-10-22,11.5,6.5,11.8,0.0,24.2,-15.8,761.8,177.7,out and back,45.191,-81.42,1,1,0,0,0,0,1,0,5.0,5.0,0,komoot,"https://www.komoot.com/plan/tour/d01ArGLxPsln-E=Fyj0BIc4SrDD_UIAZKR_CCuasIti-f1vf9QkClsAsKLDw5xMA5nougA=/@45.2165213,-81.4706708,11.374z"
Hypothermia Party,6.0,Jamie,Kamil,2.0,Algonquin,Muskoka,Ontario,Canada,32.6,530.0,2021-10-15,2021-10-17,19.4,6.7,23.1,0.0,28.2,-23.2,774.9,200.5,loop,45.463,-78.798,1,1,1,0,0,0,0,0,5.0,1.0,0,komoot,"https://www.komoot.com/plan/tour/d01ArW2-_tNo_k=Fxj0EMy94rNxpszxNjAlqadM4BQj4LNneU52jmA=/@45.4908870,-78.8166749,11.307z"
Lake Faya,7.0,Jamie,Peyman,2.0,Algonquin,Muskoka,Ontario,Canada,25.0,400.0,2021-10-22,2021-10-24,7.0,2.0,0.0,0.0,28.4,-23.8,729.6,197.2,loop,45.573,-78.525,1,1,1,1,0,0,0,0,3.0,3.0,0,komoot,"https://www.komoot.com/plan/tour/d01ArdkSftRzYI=FxhsBg0lKH1xYXrRUqkdZp06YJTh2btZWNA=/@45.5599935,-78.4972530,12.357z"
Minnesing,8.0,Jamie,solo,1.0,Algonquin,Muskoka,Ontario,Canada,17.5,180.0,2022-03-26,2022-03-27,3.3,-10.6,1.1,1.7,28.1,-23.4,729.6,197.2,loop,45.556000000000004,-78.60300000000002,1,1,0,0,0,0,0,0,7.0,2.0,0,komoot,"https://www.komoot.com/plan/tour/d01ArcgKftQnhQ=FvjsE0CIx5Mf5UziXRBHmG-fDSrMyb_5wRDJUpCg/@45.5879834,-78.5907758,12.713z"
First Frontenac,9.0,Jamie,solo,1.0,Frontenac,Ottawa Valley,Ontario,Canada,42.3,350.0,2022-05-06,2022-05-08,15.8,3.5,0.0,0.0,30.5,-19.9,865.4,127.8,loop,44.577,-76.52199999999998,1,1,0,0,0,1,0,0,3.0,4.0,0,komoot,"https://www.komoot.com/plan/tour/d01AqgvwftwXjE=Fxh0E-jjyAWEJevkQfRYgic1YVvxLsiaxoaNzHYo_WZX8l82FlU-S67zs5GrKwo7HF2_2gA=/@44.5606631,-76.4475210,12.426z"
Bad Echo,10.0,Jamie,Linda,2.0,Bon Echo,Ottawa Valley,Ontario,Canada,14.0,140.0,2022-05-13,2022-05-15,27.3,14.6,4.5,0.0,30.1,-21.7,750.6,158.3,loop,44.902,-77.24600000000002,1,1,0,0,0,0,0,0,1.0,2.0,0,komoot,"https://www.komoot.com/plan/tour/d01Aq0ocPtlU1Q=FwgABIkHCGya5yRCU6h4YIRKMj3KSBfWxLFRkLvaoA==/@44.9199541,-77.2347337,12.106z"
Witchy Waterslide,11.0,Jamie,Julia,2.0,Algonquin,Muskoka,Ontario,Canada,18.7,190.0,2022-07-21,2022-07-23,27.4,16.4,0.2,0.0,30.7,-23.5,682.3,175.3,loop,45.867,-77.757,1,1,1,1,0,0,0,0,3.0,3.0,0,komoot,"https://www.komoot.com/plan/tour/d01ArvhdftdiZE=FxfcEjC9cSOmcmAh8gq4xStuXrTaknQp0A==/@45.8599981,-77.7171477,12.287z"
Charleston Lake,12.0,Jamie,"Arny, Kelly",3.0,Charleston Lake,Ottawa Valley,Ontario,Canada,11.7,120.0,2022-08-13,2022-08-14,26.0,16.1,0.0,0.0,30.1,-18.7,885.5,126.4,loop,44.504,-76.038,1,1,0,0,1,0,0,0,1.0,4.0,0,komoot,"https://www.komoot.com/plan/tour/d01AqcS8vt3vk4=FvhsBgBbHCLZWXJn27NjtFkptBeyhtKo/@44.5201802,-76.0349901,12.789z"
Hawk Ridge,13.0,Jamie,solo,1.0,Halfway Lake,Northern Ontario,Ontario,Canada,17.2,190.0,2022-09-03,2022-09-04,18.6,8.4,0.0,0.0,28.1,-26.0,616.8,171.7,loop,46.90600000000001,-81.635,1,1,0,0,0,0,0,0,3.0,2.0,0,komoot,"https://www.komoot.com/plan/tour/d01AsuzhfsiOgw=FwcABNJ7peBLxst4Iu5dSZKZS1GIW-gW538bmaA=/@46.9165467,-81.6553131,12.472z"
Pukaskwa Loop,14.0,Jamie,solo,1.0,Pukaskwa,Northern Ontario,Ontario,Canada,29.8,400.0,2022-09-06,2022-09-07,19.0,13.5,0.0,0.0,23.1,-24.4,598.4,174.7,loop,48.591,-86.29,1,1,1,1,1,0,0,0,5.0,5.0,0,komoot,"https://www.komoot.com/plan/tour/d01AuVyTPrbUGM=Fxh4BJKFcPSIOHsCGJD3RyzO8JuM_h2nQaHpMLvZgCOAFgpMLvao/@48.5737256,-86.2575995,11.899z"
Sleeping Giant,15.0,Jamie,solo,1.0,Sleeping Giant,Northern Ontario,Ontario,Canada,32.8,590.0,2022-09-08,2022-09-09,19.1,15.1,4.3,0.0,22.1,-23.1,528.6,144.1,out and back,48.34,-88.822,1,1,0,0,1,0,0,0,7.0,5.0,0,komoot,"https://www.komoot.com/plan/tour/d01AuGdjvq0rlg=Fyh0BP0B_N4TGyjA3pT1DTHOS_CwyT-i43K61B7Y0A4f4NA=/@48.3212661,-88.8844835,11.610z"
Towab,16.0,Jamie,solo,1.0,Lake Superior,Northern Ontario,Ontario,Canada,20.2,450.0,2022-09-12,2022-09-13,18.8,14.0,5.8,0.0,24.1,-23.3,788.0,215.9,out and back,47.351000000000006,-84.58200000000002,1,0,1,1,0,0,0,0,5.0,4.0,0,komoot,"https://www.komoot.com/plan/tour/d01AtKEJPr1YHU=FxhsEzpONZXGQzJVAA==/@47.3649330,-84.5698630,12.091z"
McKenzie,17.0,Jamie,solo,1.0,Mississagi,Northern Ontario,Ontario,Canada,30.9,750.0,2022-09-15,2022-09-16,15.9,11.3,16.5,0.0,27.6,-24.9,707.3,164.2,loop,46.583,-82.695,1,1,0,0,1,0,0,0,5.0,3.0,0,alltrails,https://www.alltrails.com/explore/recording/afternoon-hike-at-mackenzie-trail-2e4fb1d
Brule Bushwack,18.0,Jamie,"Kamil, John M",3.0,Algonquin,Muskoka,Ontario,Canada,32.6,260.0,2022-10-14,2022-10-17,10.2,3.1,10.3,0.0,27.9,-23.7,817.4,200.9,out and back,45.603,-78.954,1,1,0,0,0,1,0,0,7.0,1.0,0,komoot,"https://www.komoot.com/plan/tour/d01ArfaRftLQn0=FygABKfPraBUAA==/@45.6204982,-78.8895360,11.640z"
Mizzy Lake,19.0,Jamie,"Evan, Paige, John R",4.0,Algonquin,Muskoka,Ontario,Canada,11.4,90.0,2023-03-18,2023-03-19,-2.6,-14.6,0.0,1.0,28.1,-22.7,774.9,200.5,loop,45.543,-78.695,1,1,0,0,0,0,0,0,3.0,3.0,0,komoot,"https://www.komoot.com/plan/tour/d01ArbtC_tPM_c=FujsEzQAg5QlEcdkp26t7QA=/@45.5603697,-78.6862111,12.039z"
Snake Lake,20.0,Jamie,Evan,2.0,Queen Elizabeth II,Kawartha,Ontario,Canada,24.3,210.0,2023-05-05,2023-05-07,19.0,4.2,0.3,0.0,29.7,-22.6,854.2,149.6,out and back,44.861000000000004,-78.821,1,1,0,0,0,0,0,0,3.0,3.0,0,komoot,"https://www.komoot.com/plan/tour/d01AqyAXftNXVY=FxhYBk0QEHkrd3ImBBt-Y5fuNzGg/@44.8639680,-78.8400463,12.553z"
White Bluff,21.0,Jamie,Linda,2.0,Smokey Head,Bruce Peninsula,Ontario,Canada,12.5,130.0,2023-08-04,2023-08-06,21.7,17.5,0.3,0.0,25.3,-16.1,746.0,158.5,out and back,45.02,-81.28399999999998,1,1,0,0,0,0,0,0,1.0,4.0,0,komoot,"https://www.komoot.com/plan/tour/d01Aq71a_sntWw=FvgABJ-MMhYm5UaCT7Fx_BPSBBE0ip4T9yA4ee8o/@45.0373036,-81.2663245,12.064z?similar=1247331824"
La Cloche,22.0,Jamie,solo,1.0,Killarney,Northern Ontario,Ontario,Canada,77.6,1520.0,2023-08-27,2023-08-31,18.4,10.5,16.0,0.0,24.5,-20.0,689.8,152.4,loop,46.016999999999996,-81.396,1,1,1,1,0,0,0,0,7.0,4.0,0,komoot,"https://www.komoot.com/plan/tour/d01Ar4ez_sl5N4=FyjYBIQ-YPbT7wZ8JItRqP_MPnIzn5DYb0GBs_hbAdEIHpX4vDhGBdcmc4NydJytpyg=/@46.0761423,-81.3522639,10.053z"
Mount Marcy,23.0,Jamie,"Paige, John R",3.0,High Peaks,Adirondacks,New York,USA,36.2,1670.0,2023-09-30,2023-10-02,21.6,8.7,0.0,0.0,27.3,-24.1,903.5,210.5,loop,44.183,-73.964,1,1,1,0,0,1,0,0,7.0,5.0,0,komoot,"https://www.komoot.com/plan/tour/d01AqIujPuXZw8=FxlsBm59sFitltBadPyhyRHynf0JxOVZ70ilku_DNABoCtDBhAXNCKHL1AA=/@44.1435734,-73.9558634,10.959z"
Sheldon Lake,24.0,Jamie,Peyman,2.0,Queen Elizabeth II,Kawartha,Ontario,Canada,18.9,160.0,2023-10-14,2023-10-15,11.7,6.7,0.7,0.0,29.7,-22.6,854.2,149.6,loop,44.861000000000004,-78.821,1,1,0,0,0,0,0,0,1.0,4.0,0,komoot,"https://www.komoot.com/plan/tour/d01AqyAXftNXVY=FxgABPpkfj0IWbwcMNXk_h0Pv_QZ5J9vpKMo/@44.8433775,-78.8243859,11.838z"
Algonquin Pinnacle,25.0,Jamie,solo,1.0,Algonquin,Muskoka,Ontario,Canada,20.0,500.0,2023-12-02,2023-12-03,0.1,-7.7,0.0,0.1,28.4,-24.2,690.2,194.9,out and back,45.614,-78.337,1,0,0,0,0,1,0,0,5.0,2.0,0,komoot,Off-Trail
Track and Tower,26.0,Jamie,solo,1.0,Algonquin,Muskoka,Ontario,Canada,9.7,200.0,2024-01-27,2024-01-28,2.0,-1.5,0.0,0.0,28.0,-23.5,729.6,197.2,loop,45.56,-78.578,1,1,1,1,0,1,0,0,3.0,3.0,0,komoot,"https://www.komoot.com/plan/tour/d01ArcvkPtQ_UM=FweABJJG0U0g9Z9NT8KgLLP_Ca70_Un_PSC9JUGJGrgVwgDOYKaA/@45.5507820,-78.5655619,12.849z"
Johns Brook Lodge,27.0,Jamie,Brandon,2.0,High Peaks,Adirondacks,New York,USA,14.1,420.0,2024-03-09,2024-03-10,4.4,-0.3,0.1,24.6,28.7,-22.9,886.1,188.8,out and back,44.18899999999999,-73.816,1,0,0,0,0,0,0,0,3.0,4.0,0,komoot,"https://www.komoot.com/plan/tour/d01AqJGCPuZqkk=FxgABNLWZn_P9Wu1CIeUvAbPhrg_loA=/@44.1602431,-73.8473264,12.565z"
Cat Mountain Eclipse,28.0,Jamie,Brandon,2.0,Cranberry Lake,Adirondacks,New York,USA,30.6,320.0,2024-04-06,2024-04-08,11.7,-2.4,0.0,0.0,28.0,-22.2,1036.15,222.39,loop,44.132,-74.922,1,1,1,1,0,0,0,0,5.0,4.0,0,komoot,"https://www.komoot.com/plan/tour/d11AqFmffuIyDY=FxjYBNWprhMwz5ujpMHhKJw3_qeFXgx7mju7n9vtAA==/@44.0988347,-74.9083454,10.898z"
